CAVEaT Item,CCM Control Title,CCM Control ID,Justification,Relevance Score
"Kubernetes API Abuse(version 1.0)",Identity & Access Management,IAM-01,"Kubernetes API abuse in CAVEaT often involves compromised credentials, so CCM's IAM policies and procedures are relevant for prevention.",5
"Kubernetes API Abuse(version 1.0)",Logging and Monitoring,LOG-03,"Kubernetes API abuse attempts should trigger security alerts per CCM's logging and monitoring control.",6
"Leveraging Cloud Shells(version 1.0)",Identity & Access Management,IAM-09,"CAVEaT discusses misusing cloud shells, which often have high privileges. CCM requires segregating privileged access roles to mitigate this risk.",8
"Leveraging Cloud Shells(version 1.0)",Logging and Monitoring,LOG-01,"Actions performed in cloud shells as described in CAVEaT should be logged and monitored based on CCM's policies and procedures.",5
"Leveraging Cloud Shells(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"Leveraging cloud shells for malicious purposes as described in CAVEaT requires defense-in-depth controls defined in CCM.",6
"Leveraging SaaS Applications(version 1.0)",Interoperability & Portability,IPY-03,"CAVEaT mentions using SaaS for C2, which could be mitigated by CCM's control requiring secure protocols for interoperability and portability of data.",6
"Leveraging SaaS Applications(version 1.0)","Governance, Risk and Compliance",GRC-02,"SaaS usage as described in CAVEaT introduces risks that should be evaluated under CCM's risk management program.",7
"Leveraging SaaS Applications(version 1.0)",Logging and Monitoring,LOG-03,"Malicious SaaS usage should be detected as a security event per CCM's logging and monitoring control.",5
"Loss of Availability(version 1.0)",Business Continuity Management and Operational Resilience,BCR-01,"Loss of availability in CAVEaT is directly related to CCM's policies and procedures for business continuity and operational resilience.",10
"Loss of Availability(version 1.0)",Change Control and Configuration Management,CCC-01,"Loss of availability as described in CAVEaT could result from unauthorized changes, so CCM's change management policies are relevant.",5
"Loss of Availability(version 1.0)",Infrastructure & Virtualization Security,IVS-02,"CCM's capacity and resource planning control helps ensure sufficient resources are available to prevent loss of availability issues noted in CAVEaT.",6
"Loss of Reputation/Value(version 1.0)","Governance, Risk and Compliance",GRC-01,"Loss of reputation/value in CAVEaT is a governance issue and should be included in CCM's information governance program policies and procedures.",9
"Loss of Reputation/Value(version 1.0)",Threat & Vulnerability Management,TVM-01,"Threats that could lead to loss of reputation/value as mentioned in CAVEaT should be covered by CCM's threat and vulnerability management policies.",6
"Loss of Reputation/Value(version 1.0)",Identity & Access Management,IAM-01,"Inadequate IAM practices as implied in CAVEaT can lead to breaches causing reputation loss. CCM's IAM controls aim to prevent this.",5
"Manipulate Cloud Configuration(version 1.0)",Change Control and Configuration Management,CCC-01,"CAVEaT discusses manipulating cloud configurations, which falls under CCM's policies and procedures for change management and risks associated with changes.",8
"Manipulate Cloud Configuration(version 1.0)",Identity & Access Management,IAM-01,"Manipulating cloud configurations requires access that should be controlled per CCM's IAM policies and procedures.",7
"Manipulate Cloud Configuration(version 1.0)","Governance, Risk and Compliance",GRC-02,"The risks of manipulated configurations as described in CAVEaT should be assessed as part of CCM's risk management program.",6
"Manipulating CI/CD Pipeline(version 1.0)",Change Control and Configuration Management,CCC-02,"CAVEaT is about CI/CD pipeline manipulation, which would be prevented by CCM's control requiring a defined quality change control, testing, and release process.",9
"Manipulating CI/CD Pipeline(version 1.0)",Threat & Vulnerability Management,TVM-03,"Vulnerabilities in the CI/CD pipeline that enable manipulation as described in CAVEaT should have a defined remediation schedule per CCM.",7
"Manipulating CI/CD Pipeline(version 1.0)","Supply Chain Management, Transparency, and Accountability",STA-03,"CI/CD pipelines may be managed by third parties, so CCM's control about CSPs providing guidance on the shared responsibility model is relevant.",5
"Network Service Scanning(version 1.0)",Threat & Vulnerability Management,TVM-01,"CAVEaT discusses network scanning, which is a threat that CCM's vulnerability management policies and procedures aim to identify and protect against.",8
"Network Service Scanning(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"Network scanning enables adversaries to identify targets for attack. CCM requires defense-in-depth techniques to detect and respond to such attacks.",6
"Network Service Scanning(version 1.0)",Logging and Monitoring,LOG-03,"Network scans should be detected as a security event per CCM's logging and monitoring control.",5
"Network Share Discovery(version 1.0)",Datacenter Security,DCS-06,"CAVEaT discusses discovering network shares, which could be tracked as part of CCM's control requiring cataloging and tracking all relevant assets.",6
"Network Share Discovery(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"Discovering network shares enables lateral movement. CCM requires defense-in-depth techniques to prevent and detect such threats.",7
"Network Share Discovery(version 1.0)",Identity & Access Management,IAM-08,"Access to network shares should be reviewed regularly per CCM's user access review control.",5
"Permission Groups Discovery(version 1.0)",Identity & Access Management,IAM-03,"Permission group discovery in CAVEaT relates to CCM's control about managing and reviewing information on system identities and access levels.",9
"Permission Groups Discovery(version 1.0)",Logging and Monitoring,LOG-01,"Attempts to discover permission groups as described in CAVEaT should be logged per CCM's logging and monitoring policies and procedures.",6
"Permission Groups Discovery(version 1.0)",Identity & Access Management,IAM-08,"Discovered permission groups should be reviewed regularly to ensure appropriateness per CCM's user access review control.",7
"Port Knocking – C&C(version 1.1)",Threat & Vulnerability Management,TVM-05,"CAVEaT discusses using port knocking for C2, which takes advantage of firewalls. CCM requires identifying updates for apps using third-party libraries, which often handle firewall rules.",6
"Port Knocking – C&C(version 1.1)",Infrastructure & Virtualization Security,IVS-03,"CCM requires restricting communications to authenticated and authorized connections, which could prevent the unauthorized communications in port knocking C2.",7
"Port Knocking – C&C(version 1.1)",Logging and Monitoring,LOG-03,"Port knocking C2 traffic should trigger a security alert per CCM's logging and monitoring control.",5
"Redundant Access(version 1.0)",Identity & Access Management,IAM-09,"Redundant access in CAVEaT often involves segregated privileged access, which CCM's control aims to prevent.",9
"Redundant Access(version 1.0)",Identity & Access Management,IAM-07,"CCM requires timely modification of access for movers/leavers, which could prevent the redundant access described in CAVEaT.",7
"Redundant Access(version 1.0)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-04,"Identifying redundant access is part of incident response testing required by CCM.",5
Registering Apps(version 1.0),Application & Interface Security,AIS-01,"Registering malicious apps in CAVEaT can be prevented through the application security policies and procedures required by CCM.",8
Registering Apps(version 1.0),Identity & Access Management,IAM-16,"CCM requires verifying that access to data and system functions is authorized, which would prevent malicious app registration.",6
Registering Apps(version 1.0),Threat & Vulnerability Management,TVM-01,"Registering malicious apps represents a vulnerability that should be identified and remediated per CCM's vulnerability management policies.",7
Remote Code Execution(version 1.1),Change Control and Configuration Management,CCC-04,"CAVEaT discusses remote code execution, which could be enabled by unauthorized changes that CCM restricts.",6
Remote Code Execution(version 1.1),"Security Incident Management, E-Discovery, & Cloud Forensics",SEF-05,"Remote code execution as described in CAVEaT is a security incident for which CCM requires defining metrics.",7
Remote Code Execution(version 1.1),Threat & Vulnerability Management,TVM-03,"The ability to perform remote code execution is a vulnerability that requires a defined remediation schedule per CCM.",8
"Resource Hijacking(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"Resource hijacking in CAVEaT is an infrastructure security issue covered by CCM's policies and procedures for this domain.",9
"Resource Hijacking(version 1.0)",Logging and Monitoring,LOG-03,"Resource hijacking attempts should be detected as security events per CCM's logging and monitoring control.",6
"Resource Hijacking(version 1.0)","Governance, Risk and Compliance",GRC-02,"The risks of resource hijacking as described in CAVEaT should be covered by CCM's risk management program.",7
"Revert Cloud Instance(version 1.0)",Infrastructure & Virtualization Security,IVS-07,"Reverting cloud instances in CAVEaT to remove evidence of compromise bypasses secure migration procedures that CCM requires.",8
"Revert Cloud Instance(version 1.0)",Change Control and Configuration Management,CCC-03,"Reverting instances represents a change to the environment that should be managed per CCM's change management technology control.",6
"Revert Cloud Instance(version 1.0)",Business Continuity Management & Operational Resilience,BCR-05,"Instance reversion relates to backup and recovery, so documentation required by CCM's BCR control is relevant.",5
"S3/Blob Manipulation(version 1.0)",Threat & Vulnerability Management,TVM-03,"Adversaries modifying S3/blob data in CAVEaT is a vulnerability that requires establishing a remediation schedule as per CCM.",8
"S3/Blob Manipulation(version 1.0)",Logging and Monitoring,LOG-03,"Unauthorized access and modifications to S3/blobs should trigger security alerts per CCM's logging and monitoring control.",7
"S3/Blob Manipulation(version 1.0)",Infrastructure & Virtualization Security,IVS-06,"S3/blob manipulation relates to segmentation and segregation of access to infrastructure components, as required by CCM.",6
"Sensitive Information Exposed on A Public Platform(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"CAVEaT discusses sensitive data exposure on public platforms, while CCM specifies policies for protecting data throughout its lifecycle.",9
"Sensitive Information Exposed on A Public Platform(version 1.0)",Logging and Monitoring,LOG-01,"Exposure of sensitive data as described in CAVEaT should be logged per CCM's logging and monitoring policies and procedures.",6
"Sensitive Information Exposed on A Public Platform(version 1.0)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-04,"Exposure of sensitive data constitutes a security incident that should be part of incident response testing per CCM.",7
"Managed Identities/Service Principals(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT discusses abusing managed identities, which CCM's IAM policies and procedures aim to secure.",9
"Managed Identities/Service Principals(version 1.0)",Identity & Access Management,IAM-05,"CCM requires applying least privilege principles, which would limit the impact of abused managed identities.",7
"Managed Identities/Service Principals(version 1.0)",Logging and Monitoring,LOG-03,"Abuse of managed identities should trigger security alerts per CCM's logging and monitoring control.",6
"Stealing Valid Credentials from Local Machines(version 1.0)",Threat & Vulnerability Management,TVM-03,"CAVEaT is about stealing credentials, which is a vulnerability that requires a defined remediation process as per CCM.",8
"Stealing Valid Credentials from Local Machines(version 1.0)",Identity & Access Management,IAM-02,"CCM's strong password policies help mitigate the impact of stolen credentials from local machines.",6
"Stealing Valid Credentials from Local Machines(version 1.0)",Identity & Access Management,IAM-14,"CCM requires strong authentication methods, which reduce the risk of stolen credentials being used.",7
"System (VM) Information Discovery(version 1.1)",Infrastructure & Virtualization Security,IVS-09,"CAVEaT discusses discovering system/VM info, which CCM mitigates through its control on defense-in-depth techniques to protect against attacks.",7
"System (VM) Information Discovery(version 1.1)",Threat & Vulnerability Management,TVM-01,"System discovery is often part of the vulnerability identification phase, which should be part of the vulnerability management program per CCM.",6
"System (VM) Information Discovery(version 1.1)",Identity & Access Management,IAM-08,"Access rights that enable system discovery should be reviewed regularly per CCM's user access review control.",5
"System Network Connections Discovery(version 1.0)",Infrastructure & Virtualization Security,IVS-08,"Network connection discovery in CAVEaT involves identifying and documenting high-risk environments, as required by CCM.",8
"System Network Connections Discovery(version 1.0)",Logging and Monitoring,LOG-01,"Network connection discovery attempts should be logged per CCM's logging and monitoring policies and procedures.",6
"System Network Connections Discovery(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"Network connection discovery can enable lateral movement and further attacks, so CCM's defense-in-depth control is relevant.",7
"Tagging Falsely(version 1.0)",Change Control and Configuration Management,CCC-02,"Falsely tagging cloud resources in CAVEaT subverts change and configuration management processes, so it aligns with CCM's control in this area.",8
"Tagging Falsely(version 1.0)",Logging and Monitoring,LOG-03,"False tagging should trigger security alerts per CCM's logging and monitoring control.",6
"Tagging Falsely(version 1.0)",Threat & Vulnerability Management,TVM-02,"False tagging can facilitate malware execution by misidentifying resources. CCM requires malware protection policies and procedures.",5
"Transfer Data to Cloud Account in Same CSP(version 1.0)",Interoperability & Portability,IPY-04,"CAVEaT outlines exfiltrating data between cloud accounts of the same CSP. CCM specifies that agreements should include data portability and deletion terms when transferring between CSPs/CSCs.",9
"Transfer Data to Cloud Account in Same CSP(version 1.0)",Logging and Monitoring,LOG-03,"Unusual data transfers between cloud accounts should trigger security alerts per CCM's logging and monitoring control.",7
"Transfer Data to Cloud Account in Same CSP(version 1.0)",Threat & Vulnerability Management,TVM-01,"The ability to transfer data between cloud accounts could be a vulnerability that should be managed per CCM's vulnerability management policies.",6
"Trusted Relationship(version 1.0)","Supply Chain Management, Transparency, and Accountability",STA-03,"CAVEaT discusses exploiting trusted relationships, which can occur in the supply chain. CCM requires CSPs to provide guidance detailing the shared security model throughout the supply chain.",8
"Trusted Relationship(version 1.0)","Governance, Risk and Compliance",GRC-02,"Risks from trusted relationships as described in CAVEaT should be included in CCM's risk management program.",7
"Trusted Relationship(version 1.0)",Logging and Monitoring,LOG-03,"Activities from trusted parties that might indicate compromise should trigger security alerts per CCM's logging and monitoring control.",6
"Unencrypted Network Traffic(version 1.0)","Cryptography, Encryption & Key Management",CEK-03,"Unencrypted traffic mentioned in CAVEaT can be addressed through CCM's control requiring cryptographic protection of data in-transit.",9
"Unencrypted Network Traffic(version 1.0)",Infrastructure & Virtualization Security,IVS-03,"CCM requires encrypting communications, which directly addresses the unencrypted traffic issue in CAVEaT.",8
"Unencrypted Network Traffic(version 1.0)",Threat & Vulnerability Management,TVM-03,"Transmitting sensitive data over unencrypted channels is a vulnerability that requires a defined remediation schedule per CCM.",7
"Unused (Unsupported) Cloud Regions(version 1.0)",Logging and Monitoring,LOG-03,"Using unused cloud regions to evade detection in CAVEaT can be mitigated by CCM's control to monitor security events and generate alerts.",8
"Unused (Unsupported) Cloud Regions(version 1.0)",Infrastructure & Virtualization Security,IVS-08,"CCM requires identifying high-risk environments, which would include unused regions as mentioned in CAVEaT.",6
"Unused (Unsupported) Cloud Regions(version 1.0)",Change Control and Configuration Management,CCC-01,"Enabling unused regions represents a change that should go through CCM's change management policies and procedures.",5
"Utilize Breach Replay(version 1.0)",Universal Endpoint Management,UEM-09,"Utilizing previous breaches for attacks as described in CAVEaT can be mitigated by CCM's control to configure endpoints with anti-malware prevention and detection.",7
"Utilize Breach Replay(version 1.0)",Threat & Vulnerability Management,TVM-03,"Vulnerabilities from previous breaches used in breach replay should have a defined remediation schedule per CCM.",8
"Utilize Breach Replay(version 1.0)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-02,"Breach replay constitutes a security incident that should be managed per CCM's incident management policies and procedures.",6
"Weak Passwords(version 1.0)",Identity & Access Management,IAM-01,"Weak passwords discussed in CAVEaT can be mitigated through the strong password policies required in CCM's IAM section.",9
"Weak Passwords(version 1.0)",Identity & Access Management,IAM-02,"CCM specifically requires strong password policies and procedures, directly addressing the issue in CAVEaT.",10
"Weak Passwords(version 1.0)",Identity & Access Management,IAM-14,"CCM requires strong authentication methods, which help mitigate risks from weak passwords.",8
"Exfiltrating Using Web Servers(version 1.0)",Logging and Monitoring,LOG-07,"Web servers being used for data exfiltration in CAVEaT can potentially be caught by logging events according to CCM's defined scope, which should cover web servers.",8
"Exfiltrating Using Web Servers(version 1.0)",Threat & Vulnerability Management,TVM-06,"Penetration testing required by CCM could identify vulnerabilities in web servers that enable exfiltration.",6
"Exfiltrating Using Web Servers(version 1.0)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-03,"Data exfiltration via web servers is a security incident that should be included in CCM's incident response plans.",7
"White Listing(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"CAVEaT discusses whitelisting to evade detection, which can be addressed by the defense-in-depth techniques for timely attack response required by CCM.",7
"White Listing(version 1.0)",Change Control and Configuration Management,CCC-01,"Adding entries to whitelists is a change that should be managed through CCM's change management policies and procedures.",6
"White Listing(version 1.0)",Threat & Vulnerability Management,TVM-03,"Improperly configured whitelists enable vulnerabilities that should have a defined remediation schedule per CCM.",8
"Leveraging Cloud Shells(version 1.0)",Identity & Access Management,IAM-09,"CAVEaT discusses misusing cloud shells, which often have high privileges. CCM requires segregating privileged access roles to mitigate this risk.",8
"Leveraging Cloud Shells(version 1.0)",Logging and Monitoring,LOG-01,"Actions performed in cloud shells as described in CAVEaT should be logged and monitored based on CCM's policies and procedures.",6
"Leveraging Cloud Shells(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"Leveraging cloud shells for malicious purposes as described in CAVEaT requires defense-in-depth controls defined in CCM.",7
Port Knocking – C&C(version 1.1),Infrastructure & Virtualization Security,IVS-03,"CCM requires restricting communications to authenticated and authorized connections, which could prevent the unauthorized communications in port knocking C2.",7
Port Knocking – C&C(version 1.1),Logging and Monitoring,LOG-03,"Port knocking C2 traffic should trigger a security alert per CCM's logging and monitoring control.",5
Port Knocking – C&C(version 1.1),Threat & Vulnerability Management,TVM-05,"CAVEaT discusses using port knocking for C2, which takes advantage of firewalls. CCM requires identifying updates for apps using third-party libraries, which often handle firewall rules.",6
Registering Apps(version 1.0),Application & Interface Security,AIS-01,"Registering malicious apps in CAVEaT can be prevented through the application security policies and procedures required by CCM.",8
Registering Apps(version 1.0),Identity & Access Management,IAM-16,"CCM requires verifying that access to data and system functions is authorized, which would prevent malicious app registration.",6
Registering Apps(version 1.0),Threat & Vulnerability Management,TVM-01,"Registering malicious apps represents a vulnerability that should be identified and remediated per CCM's vulnerability management policies.",7
