CAVEaT Entry Name,Control Domain,Control Title,Control ID,Relation,Score,Justification
Managed Identities/Service Principals,Identity & Access Management,Segregation of Privileged Access Roles,IAM-09,"The CCM entry recommends segregating privileged access roles, which is relevant to securely managing high-privilege managed identities and service principals as implied in the CAVEaT entry.",7,"Separating privileged roles as outlined in the CCM entry is a good practice for limiting the potential impact of compromised managed identities or service principals, though the entry does not mention these constructs specifically."
Stealing Valid Credentials from Local Machines,Identity & Access Management,Encryption and Key Management Policy and Procedures,CEK-01,"The CCM entry discusses policies for key management, which could be relevant to mitigating risks of credential theft from local machines as described in the CAVEaT entry.",4,"While encryption and key management are good practices, the CCM entry does not provide specific guidance related to protecting against the local credential theft techniques outlined in the CAVEaT entry."
Stealing Valid Credentials from Local Machines,Threat & Vulnerability Management,Vulnerability Identification,TVM-07,"The CCM entry recommends identifying vulnerabilities, which could include scanning local systems for insecurely stored credentials that could be stolen as described in the CAVEaT entry.",6,"While not specifically focused on credential theft, regular vulnerability scanning as outlined in the CCM entry could help uncover some of the weaknesses that could enable the adversary techniques described in the CAVEaT entry."
System (VM) Information Discovery,Logging and Monitoring,Logging Scope,LOG-07,"The CCM entry discusses defining the types of events that should be logged, which could be relevant to detecting attempts to gather system information as described in the CAVEaT entry.",5,"While not providing specific guidance, ensuring that relevant events are logged as discussed in the CCM entry could help detect the types of discovery activities outlined in the CAVEaT entry."
System Network Connections Discovery,Logging and Monitoring,Log Records,LOG-08,"The CCM entry recommends logging relevant security event details, which could include details about network connections that could detect anomalous adversary discovery activity as described in the CAVEaT entry.",6,"Logging network-related events as implied by the CCM entry could help detect adversary attempts to map network connections, but the entry does not discuss this specific use case."
Tagging Falsely,Change Control and Configuration Management,Detection of Baseline Deviation,CCC-07,"The CCM entry recommends detecting deviations from baseline configurations, which is somewhat relevant to detecting malicious changes to resource tags as described in the CAVEaT entry.",5,"While not specifically discussing tagging, monitoring for unexpected configuration changes as described in the CCM entry could potentially help identify malicious modifications to tags, but the relationship is indirect."
Transfer Data to Cloud Account in Same CSP,"Datacenter Security, Secure Data Transfer Policy and Procedures",DCS-04,"The CCM entry discusses secure data transfer policies, which are relevant to mitigating risks of data exfiltration to external cloud accounts as described in the CAVEaT entry.",7,"Having strong data transfer security controls as outlined in the CCM entry is important for preventing the types of data exfiltration to alternate cloud accounts discussed in the CAVEaT entry, though cross-CSP transfers are not mentioned specifically."
Transfer Data to Cloud Account in Same CSP,Logging and Monitoring,Logging Scope,LOG-07,"The CCM entry recommends defining the scope of events that should be logged, which could include data access and transfers that could detect exfiltration activity as described in the CAVEaT entry.",6,"Ensuring that relevant data transfer events are logged as implied by the CCM entry could help identify suspicious cross-account transfer activity, but the entry does not provide specific guidance for this use case."
Trusted Relationship,Identity & Access Management,Segregation of Privileged Access Roles,IAM-09,"The CCM entry discusses segregating privileged access roles, which could help mitigate risks of adversaries leveraging trusted third party relationships to gain elevated access as described in the CAVEaT entry.",6,"While not directly discussing third party risks, the principle of least privilege outlined in the CCM entry is relevant to mitigating some of the risks associated with trusted relationships that the CAVEaT entry describes."
Trusted Relationship,Logging and Monitoring,Security Monitoring and Alerting,LOG-03,"The CCM entry recommends monitoring for anomalous activity, which could help detect malicious actions taken by third parties in trusted relationships as described in the CAVEaT entry.",7,"Robust security monitoring as outlined in the CCM entry is important for detecting potential misuse of access by trusted third parties, making it quite relevant to the risks described in the CAVEaT entry even if the third party aspect is not explicitly mentioned."
Unencrypted Network Traffic,Encryption & Key Management,Encryption and Key Management Policy and Procedures,CEK-01,"The CCM entry discusses policies and procedures for encryption, which are highly relevant to mitigating risks of sensitive data exposure through unencrypted traffic as outlined in the CAVEaT entry.",9,"Ensuring proper encryption policies are in place as discussed in the CCM entry is crucial for preventing the types of unencrypted data exposure risks highlighted in the CAVEaT entry, making the two closely related."
Unencrypted Network Traffic,Encryption & Key Management,Data Encryption,CEK-03,"The CCM entry recommends encrypting data in transit, which directly addresses the risks of sensitive information exposure through unencrypted traffic that the CAVEaT entry describes.",10,"The CCM entry's guidance to encrypt data in transit maps exactly to the unencrypted traffic risks outlined in the CAVEaT entry, making the two entries highly aligned."
Utilize Breach Replay,Encryption & Key Management,Encryption and Key Management Policy and Procedures,CEK-01,"The CCM entry discusses encryption and key management procedures, which could be relevant to ensuring that compromised credentials cannot be reused as described in the breach replay scenario in the CAVEaT entry.",4,"While encryption and key management are good general practices, the CCM entry does not provide specific guidance related to preventing the types of breach replay attacks outlined in the CAVEaT entry."
Utilize Breach Replay,Identity & Access Management,Strong Authentication,IAM-14,"The CCM entry recommends using strong, multi-factor authentication methods, which would help mitigate the risk of adversaries reusing compromised credentials as described in the CAVEaT entry.",8,"Requiring strong authentication as described in the CCM entry would make it significantly more difficult for adversaries to successfully reuse compromised credentials, making it a highly relevant control for the breach replay risk outlined in the CAVEaT entry."
Weak Passwords,Identity & Access Management,Strong Password Policy and Procedures,IAM-02,"The CCM entry provides detailed guidance on implementing strong password policies, which is directly relevant to mitigating the risks of weak passwords that the CAVEaT entry discusses.",10,"The password policy recommendations in the CCM entry align perfectly with the guidance needed to address the weak password risks described in the CAVEaT entry."
Weak Passwords,Identity & Access Management,Strong Authentication,IAM-14,"The CCM entry discusses implementing strong, multi-factor authentication, which would greatly reduce the risks associated with weak passwords as described in the CAVEaT entry.",8,"Enforcing multi-factor authentication as recommended in the CCM entry would significantly mitigate risks of account compromise even in situations where weak passwords are used, making it highly relevant to the CAVEaT entry."
Exfiltrating Using Web Servers,Encryption & Key Management,Data Encryption,CEK-03,"The CCM entry recommends encrypting sensitive data, which would help prevent the clear-text exfiltration of sensitive information through compromised web servers as described in the CAVEaT entry.",7,"Encrypting data as discussed in the CCM entry would help mitigate some of the data exposure risks associated with web server compromise, but the entry does not discuss the exfiltration scenario specifically."
Exfiltrating Using Web Servers,Logging and Monitoring,Security Monitoring and Alerting,LOG-03,"The CCM entry discusses monitoring systems for anomalous activity, which could help detect the suspicious traffic flows associated with data exfiltration through web servers as described in the CAVEaT entry.",6,"Security monitoring as outlined in the CCM entry could help identify unusual web server traffic that could be indicative of data exfiltration, but the entry does not provide guidance specific to this use case."
White Listing,Infrastructure & Virtualization Security,Network Defense,IVS-09,"The CCM entry recommends implementing network defense techniques, which is relevant to securely implementing IP whitelisting approaches as alluded to in the CAVEaT entry.",6,"While the CCM entry does not directly discuss whitelisting, the network security principles it outlines are important for securely implementing the types of whitelists mentioned in the CAVEaT entry."
White Listing,Threat & Vulnerability Management,Vulnerability Identification,TVM-07,"The CCM entry discusses identifying vulnerabilities, which could include weaknesses in whitelist implementations that could be exploited as described in the CAVEaT entry.",5,"Regular vulnerability assessment as discussed in the CCM entry could help identify gaps in whitelist rules that could be abused, but the entry does not provide guidance specific to securely configuring and maintaining whitelists."
